 0.9998388  0.9989857    75.62 (L= 4 minsim= 64 factor= 2.23)
 0.9998400  0.9990131   229.95 (L= 4 minsim= 64 factor= 5.00)
 0.9998159  0.9996088   105.91 (L= 4 minsim= 36 factor= 2.23)
 0.9999078  0.9996202   307.44 (L= 4 minsim= 36 factor= 5.00)
 0.9997016  0.9999943   343.03 (L= 4 minsim=  3 factor= 2.23)
 1.0000000  1.0000000   623.25 (L= 4 minsim=  3 factor= 5.00)
 0.9990861  0.9945241    34.81 (L= 4 minsim=289 factor= 2.23)
 0.9991033  0.9945548    83.47 (L= 4 minsim=289 factor= 5.00)
 0.9997845  0.9999270   232.99 (L= 4 minsim=  9 factor= 2.23)
 0.9999137  0.9999381   485.82 (L= 4 minsim=  9 factor= 5.00)
 0.9997184  0.9977100    53.20 (L= 4 minsim=121 factor= 2.23)
 0.9997080  0.9977267   142.87 (L= 4 minsim=121 factor= 5.00)
 0.9998002  0.9986780    66.20 (L= 4 minsim= 81 factor= 2.23)
 0.9998098  0.9987088   194.23 (L= 4 minsim= 81 factor= 5.00)
 0.9997434  0.9999663   312.77 (L= 4 minsim=  4 factor= 2.23)
 0.9999492  0.9999727   586.82 (L= 4 minsim=  4 factor= 5.00)
 0.9998242  0.9993742    87.27 (L= 4 minsim= 49 factor= 2.24)
 0.9998243  0.9993741    87.97 (L= 4 minsim= 49 factor= 2.23)
 0.9998942  0.9993910   266.71 (L= 4 minsim= 49 factor= 5.00)
 0.9996289  0.9970675    48.77 (L= 4 minsim=144 factor= 2.23)
 0.9996342  0.9971581   127.38 (L= 4 minsim=144 factor= 5.00)
 0.9995222  0.9964605    45.45 (L= 4 minsim=169 factor= 2.23)
 0.9995304  0.9965338   115.91 (L= 4 minsim=169 factor= 5.00)
 0.9991933  0.9949896    36.82 (L= 4 minsim=256 factor= 2.23)
 0.9992134  0.9950765    90.30 (L= 4 minsim=256 factor= 5.00)
 0.9998057  0.9998463   177.20 (L= 4 minsim= 16 factor= 2.23)
 0.9999106  0.9998614   414.10 (L= 4 minsim= 16 factor= 5.00)
 0.9993977  0.9959983    42.05 (L= 4 minsim=196 factor= 2.23)
 0.9994003  0.9960585   105.79 (L= 4 minsim=196 factor= 5.00)
 0.9997716  0.9982032    58.73 (L= 4 minsim=100 factor= 2.23)
 0.9997626  0.9982401   163.80 (L= 4 minsim=100 factor= 5.00)
 0.9996161  0.9997024   117.03 (L=10 minsim= 25 factor= 2.23)
 0.9999355  0.9997252   322.11 (L=10 minsim= 25 factor= 5.00)
 0.9990833  0.9947090    36.03 (L=10 minsim=225 factor= 2.23)
 0.9991741  0.9950615    96.66 (L=10 minsim=225 factor= 5.00)
 0.9997274  0.9988899    69.98 (L=10 minsim= 64 factor= 2.23)
 0.9998223  0.9989164   215.49 (L=10 minsim= 64 factor= 5.00)
 0.9996838  0.9995318    94.54 (L=10 minsim= 36 factor= 2.23)
 0.9999054  0.9995569   279.83 (L=10 minsim= 36 factor= 5.00)
 0.9995341  0.9999281   281.17 (L=10 minsim=  3 factor= 2.23)
 0.9999592  0.9999495   571.56 (L=10 minsim=  3 factor= 5.00)
 0.9985123  0.9929673    31.91 (L=10 minsim=289 factor= 2.23)
 0.9986725  0.9936418    83.46 (L=10 minsim=289 factor= 5.00)
 0.9995178  0.9999043   189.62 (L=10 minsim=  9 factor= 2.23)
 0.9999451  0.9999294   441.62 (L=10 minsim=  9 factor= 5.00)
 0.9995931  0.9973559    49.47 (L=10 minsim=121 factor= 2.23)
 0.9996345  0.9974295   139.95 (L=10 minsim=121 factor= 5.00)
 0.9997045  0.9984462    61.64 (L=10 minsim= 81 factor= 2.23)
 0.9997680  0.9984860   186.88 (L=10 minsim= 81 factor= 5.00)
 0.9995550  0.9999374   255.36 (L=10 minsim=  4 factor= 2.23)
 0.9999580  0.9999549   536.40 (L=10 minsim=  4 factor= 5.00)
 0.9997382  0.9992519    80.18 (L=10 minsim= 49 factor= 2.23)
 0.9998587  0.9992818   246.00 (L=10 minsim= 49 factor= 5.00)
 0.9994798  0.9964938    45.10 (L=10 minsim=144 factor= 2.23)
 0.9995316  0.9968069   126.09 (L=10 minsim=144 factor= 5.00)
 0.9993552  0.9958034    41.92 (L=10 minsim=169 factor= 2.23)
 0.9994337  0.9961836   114.78 (L=10 minsim=169 factor= 5.00)
 0.9989202  0.9939397    33.75 (L=10 minsim=256 factor= 2.23)
 0.9989770  0.9943784    89.65 (L=10 minsim=256 factor= 5.00)
 0.9995330  0.9998349   147.50 (L=10 minsim= 16 factor= 2.23)
 0.9999243  0.9998542   374.23 (L=10 minsim= 16 factor= 5.00)
 0.9992507  0.9952805    38.80 (L=10 minsim=196 factor= 2.23)
 0.9993350  0.9957953   105.70 (L=10 minsim=196 factor= 5.00)
 0.9996823  0.9979104    55.18 (L=10 minsim=100 factor= 2.23)
 0.9997260  0.9979677   159.43 (L=10 minsim=100 factor= 5.00)
